season,round,driver_id,position,points,wins
1952,8,bonetto,19.0,2.0,0
1952,8,cross,20.0,2.0,0
1952,8,thompson,21.0,2.0,0
1952,8,vukovich,22.0,1.0,0
1952,8,laurent,,0.0,0
1952,8,graffenried,,0.0,0
1952,8,simon,,0.0,0
1952,8,collins,,0.0,0
1952,8,bryan,,0.0,0
1952,8,hirt,,0.0,0
1952,8,tornaco,,0.0,0
1952,8,duncan_hamilton,,0.0,0
1952,8,reece,,0.0,0
1952,8,reg_parnell,,0.0,0
1952,8,riess,,0.0,0
1952,8,macklin,,0.0,0
1952,8,brandon,,0.0,0
1952,8,landi,,0.0,0
1952,8,claes,,0.0,0
1952,8,ulmen,,0.0,0
1952,8,george_connor,,0.0,0
1952,8,etancelin,,0.0,0
1952,8,salvadori,,0.0,0
1952,8,downing,,0.0,0
1952,8,griffith,,0.0,0
1952,8,niedermayr,,0.0,0
1952,8,flinterman,,0.0,0
1952,8,bira,,0.0,0
1952,8,whitehead,,0.0,0
1952,8,rosier,,0.0,0
1952,8,parsons,,0.0,0
1952,8,cabantous,,0.0,0
1952,8,cantoni,,0.0,0
1952,8,mcgrath,,0.0,0
1952,8,klenk,,0.0,0
1952,8,rigsby,,0.0,0
1952,8,comotti,,0.0,0
1952,8,graham_whitehead,,0.0,0
1952,8,klodwig,,0.0,0
1952,8,james,,0.0,0
1952,8,legat,,0.0,0
1952,8,schindler,,0.0,0
1952,8,obrien,,0.0,0
1952,8,gaze,,0.0,0
1952,8,fonder,,0.0,0
1952,8,mcalpine,,0.0,0
1952,8,johnson,,0.0,0
1952,8,schell,,0.0,0
1952,8,bianco,,0.0,0
1952,8,stevenson,,0.0,0
1952,8,banks,,0.0,0
1952,8,ayulo,,0.0,0
1952,8,mcdowell,,0.0,0
1952,8,crook,,0.0,0
1952,8,moss,,0.0,0
1952,8,lof,,0.0,0
1952,8,heeks,,0.0,0
1952,8,charrington,,0.0,0
1952,8,brudes,,0.0,0
1952,8,abecassis,,0.0,0
1952,8,balsa,,0.0,0
1952,8,hans_stuck,,0.0,0
1952,8,bechem,,0.0,0
1952,8,carini,,0.0,0
1952,8,krause,,0.0,0
1952,8,rol,,0.0,0
1952,8,terra,,0.0,0
1952,8,schoeller,,0.0,0
1952,8,aston,,0.0,0
1952,8,webb,,0.0,0
1952,8,ward,,0.0,0
1952,8,bettenhausen,,0.0,0
1952,8,pietsch,,0.0,0
1952,8,bayol,,0.0,0
1952,8,nalon,,0.0,0
1952,8,sweikert,,0.0,0
1952,8,crespo,,0.0,0
1952,8,agabashian,,0.0,0
1952,8,helfrich,,0.0,0
1952,8,hartley,,0.0,0
1952,8,murray,,0.0,0
1952,8,peters,,0.0,0
1953,9,ascari,1.0,34.5,5
1953,9,fangio,2.0,28.0,1
1953,9,farina,3.0,26.0,1
1953,9,hawthorn,4.0,19.0,1
1953,9,villoresi,5.0,17.0,0
1953,9,gonzalez,6.0,13.5,0
1953,9,vukovich,7.0,9.0,1
1953,9,graffenried,8.0,7.0,0
1953,9,bonetto,9.0,6.5,0
1953,9,cross,10.0,6.0,0
1953,9,marimon,11.0,4.0,0
1953,9,trintignant,12.0,4.0,0
1953,9,darter,13.0,2.0,0
1953,9,hanks,14.0,2.0,0
1953,9,galvez,15.0,2.0,0
1953,9,mcgrath,16.0,2.0,0
1953,9,lang,17.0,2.0,0
1953,9,paul_russo,18.0,1.5,0
1953,9,agabashian,19.0,1.5,0
1953,9,moss,,0.0,0
1953,9,behra,,0.0,0
1953,9,mieres,,0.0,0
1953,9,daywalt,,0.0,0
1953,9,schell,,0.0,0
1953,9,rosier,,0.0,0
1953,9,wharton,,0.0,0
1953,9,bira,,0.0,0
1953,9,swaters,,0.0,0
1953,9,johnson,,0.0,0
1953,9,rathmann,,0.0,0
1953,9,musso,,0.0,0
1953,9,mantovani,,0.0,0
1953,9,collins,,0.0,0
1953,9,john_barber,,0.0,0
1953,9,mccoy,,0.0,0
1953,9,terra,,0.0,0
1953,9,maglioli,,0.0,0
1953,9,alan_brown,,0.0,0
1953,9,bettenhausen,,0.0,0
1953,9,hartley,,0.0,0
